Device disconnected: 68:37:22:d2:22:6d (Reason: 531)
Initializing AFE4404...
Initialized Success!
PD4:1733147, PD2:1448251
PD4:1733099, PD2:1447941
PD4:1732785, PD2:1448094
PD4:1732534, PD2:1448176
PD4:1732515, PD2:1448182
PD4:1732443, PD2:1448429
PD4:1732434, PD2:1448487
PD4:1732239, PD2:1448134
PD4:1732159, PD2:1448245
PD4:1732132, PD2:1448158
PD4:1732251, PD2:1448250
PD4:1732670, PD2:1448351
PD4:1732293, PD2:1448745
PD4:1732252, PD2:1448652
PD4:1731989, PD2:1448709
PD4:1732148, PD2:1448714
PD4:1732380, PD2:1448646
PD4:1732192, PD2:1448513
PD4:1731747, PD2:1448791
PD4:1731458, PD2:1448876
PD4:1731608, PD2:1448841
PD4:1731673, PD2:1448939
PD4:1731744, PD2:1448859
PD4:1731796, PD2:1448651
PD4:1731594, PD2:1448469
PD4:1731410, PD2:1448293
PD4:1731533, PD2:1448672
PD4:1731732, PD2:1449176
PD4:1731508, PD2:1448732
PD4:1731236, PD2:1448759
PD4:1731458, PD2:1448345
PD4:1731365, PD2:1448489
PD4:1731208, PD2:1448654
PD4:1731151, PD2:1448234
PD4:1731006, PD2:1448192
PD4:1730910, PD2:1447716
PD4:1730595, PD2:1446814
PD4:1730231, PD2:1446680
PD4:1730402, PD2:1447043
PD4:1729855, PD2:1446627
PD4:1729681, PD2:1446714
PD4:1729642, PD2:1447028
PD4:1729415, PD2:1446758
PD4:1729550, PD2:1446761
PD4:1729617, PD2:1446787
PD4:1729406, PD2:1447149
PD4:1729148, PD2:1447006
PD4:1729262, PD2:1446638
PD4:1729132, PD2:1446538
PD4:1729149, PD2:1446843
PD4:1729043, PD2:1446669
PD4:1729060, PD2:1446280
PD4:1728848, PD2:1446271
PD4:1728815, PD2:1446398
PD4:1728791, PD2:1446298
PD4:1729116, PD2:1446524
PD4:1728889, PD2:1446329
PD4:1728842, PD2:1446249
PD4:1728751, PD2:1446192
PD4:1728578, PD2:1446368
PD4:1728640, PD2:1446538
PD4:1728521, PD2:1446869
PD4:1728521, PD2:1446650
PD4:1727914, PD2:1446710
PD4:1728092, PD2:1446709
PD4:1727962, PD2:1447438
PD4:1728232, PD2:1446738
PD4:1728042, PD2:1446441
PD4:1728029, PD2:1446601
PD4:1727573, PD2:1446416
PD4:1727824, PD2:1446374
PD4:1727819, PD2:1446753
